time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
202324,Academic year,National,E92000001,England,Mathematics,Target,Postgraduate ITT Target,2960,61
202324,Academic year,National,E92000001,England,Mathematics,Total,Total Postgraduates,1877,100
202324,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Postgraduates in scope of target,949,z
202324,Academic year,National,E92000001,England,Modern Foreign Languages,Target,Postgraduate ITT Target,2960,32
202324,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Total Postgraduates,1036,100
202324,Academic year,National,E92000001,England,Music,Total,Postgraduates in scope of target,216,z
202324,Academic year,National,E92000001,England,Music,Target,Postgraduate ITT Target,790,27
202324,Academic year,National,E92000001,England,Music,Total,Total Postgraduates,238,100
202324,Academic year,National,E92000001,England,Other,Total,Postgraduates in scope of target,296,z
202324,Academic year,National,E92000001,England,Other,Target,Postgraduate ITT Target,2250,13
202324,Academic year,National,E92000001,England,Other,Total,Total Postgraduates,322,100
202324,Academic year,National,E92000001,England,Physical Education,Total,Postgraduates in scope of target,1323,z
202324,Academic year,National,E92000001,England,Physical Education,Target,Postgraduate ITT Target,735,180
202324,Academic year,National,E92000001,England,Physical Education,Total,Total Postgraduates,1487,100
202324,Academic year,National,E92000001,England,Physics,Total,Postgraduates in scope of target,466,z
202324,Academic year,National,E92000001,England,Physics,Target,Postgraduate ITT Target,2820,17
202324,Academic year,National,E92000001,England,Physics,Total,Total Postgraduates,564,100
202324,Academic year,National,E92000001,England,Religious Education,Total,Postgraduates in scope of target,269,z
202324,Academic year,National,E92000001,England,Religious Education,Target,Postgraduate ITT Target,655,41
202324,Academic year,National,E92000001,England,Religious Education,Total,Total Postgraduates,287,100
202324,Academic year,National,E92000001,England,Primary,Total,Postgraduates in scope of target,8644,z
202324,Academic year,National,E92000001,England,Primary,Target,Postgraduate ITT Target,9180,94
202324,Academic year,National,E92000001,England,Primary,Total,Total Postgraduates,9125,100
202324,Academic year,National,E92000001,England,Secondary,Total,Postgraduates in scope of target,12766,z
202324,Academic year,National,E92000001,England,Secondary,Target,Postgraduate ITT Target,26360,48
202324,Academic year,National,E92000001,England,Secondary,Total,Total Postgraduates,13551,100
202324,Academic year,National,E92000001,England,STEM Subjects,Total,Postgraduates in scope of target,4357,z
202324,Academic year,National,E92000001,England,STEM Subjects,Target,Postgraduate ITT Target,9195,47
202324,Academic year,National,E92000001,England,STEM Subjects,Total,Total Postgraduates,4587,100
202324,Academic year,National,E92000001,England,Total,Total,Postgraduates in scope of target,21410,z
202324,Academic year,National,E92000001,England,Total,Target,Postgraduate ITT Target,35540,60
202324,Academic year,National,E92000001,England,Total,Total,Total Postgraduates,22676,100
202425,Academic year,National,E92000001,England,Art & Design,Total,Postgraduates in scope of target,701,z
202425,Academic year,National,E92000001,England,Art & Design,Target,Postgraduate ITT Target,1095,64
202425,Academic year,National,E92000001,England,Art & Design,Total,Total Postgraduates,722,100
202425,Academic year,National,E92000001,England,Biology,Total,Postgraduates in scope of target,1294,z
202425,Academic year,National,E92000001,England,Biology,Target,Postgraduate ITT Target,1120,116
202425,Academic year,National,E92000001,England,Biology,Total,Total Postgraduates,1314,100
